;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;year;month
'host_response_time','host_response_rate','host_is_superhost','host_listings_count','latitude','longitude','property_type','room_type','accommodates','bathrooms','bedrooms','beds','bed_type','amenities','price','security_deposit','cleaning_fee','guests_included','extra_people','minimum_nights','maximum_nights','number_of_reviews','review_scores_rating','review_scores_accuracy','review_scores_cleanliness','review_scores_checkin','review_scores_communication','review_scores_location','review_scores_value','instant_bookable','is_business_travel_ready','cancellation_policy','year','month';'host_response_time';'host_response_rate';'host_is_superhost';'host_listings_count';'latitude';'longitude';'property_type';'room_type';'accommodates';'bathrooms';'bedrooms';'beds';'bed_type';'amenities';'price';'security_deposit';'cleaning_fee';'guests_included';'extra_people';'minimum_nights';'maximum_nights';'number_of_reviews';'review_scores_rating';'review_scores_accuracy';'review_scores_cleanliness';'review_scores_checkin';'review_scores_communication';'review_scores_location';'review_scores_value';'instant_bookable';'is_business_travel_ready';'cancellation_policy';'year';'month'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;within a day;86%;f;1.0;-2.296.776.638.572.460;-431.819.181.446.616;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom""}";$205.00;$342.00;$171.00;1;$0.00;4;365;22;97.0;10.0;9.0;10.0;10.0;10.0;10.0;t;f;moderate;2018;4
;within an hour;100%;f;3.0;-22.917.038.512.195.700;-4.319.026.223.951.510;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;"{Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in""}";$1,195.00;$683.00;$205.00;3;$34.00;1;7;3;100.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;2018;4
;within an hour;100%;f;8.0;-2.296.840.278.142.750;-4.318.209.058.881.680;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Elevator,Washer,Essentials,Hangers,""Laptop friendly workspace"",""Hot water"",""Bed linens""}";$181.00;$400.00;$60.00;2;$50.00;3;30;126;82.0;9.0;8.0;9.0;9.0;9.0;8.0;t;f;strict;2018;4
;within an hour;100%;t;10.0;-22.984.446.544.659.800;-43.200.373.532.313;Apartment;Entire home/apt;4;1.5;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}";$150.00;$900.00;$135.00;2;$45.00;2;180;79;94.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;moderate;2018;4
;;;f;1.0;-22.881.770.552.619.800;-4.349.129.234.328.050;House;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,Washer}";$31.00;$480.00;$0.00;1;$45.00;1;6;2;90.0;8.0;6.0;9.0;10.0;6.0;9.0;f;f;flexible;2018;4
;;;f;2.0;-228.403.448.303.516;-4.331.419.673.129.860;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;"{TV,Internet,""Free parking on premises"",Breakfast,""Buzzer/wireless intercom""}";$205.00;;;1;$0.00;1;1125;0;;;;;;;;f;f;flexible;2018;4
;within a few hours;100%;t;7.0;-2.291.040.051.989.050;-43.195.443.644.921.800;Apartment;Entire home/apt;3;1.0;1.0;4.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Pack ’n Play/travel crib"",""Hot water"",""Long term stays allowed"",""Host greets you""}";$99.00;$600.00;$100.00;2;$45.00;3;89;22;93.0;9.0;9.0;10.0;10.0;8.0;9.0;t;f;strict;2018;4
;;;f;1.0;-2.298.855.835.639.560;-432.264.087.234.198;Apartment;Entire home/apt;5;1.5;2.0;3.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$273.00;$1,025.00;$342.00;4;$85.00;8;18;17;95.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
;within a few hours;90%;f;2.0;-22.986.805.492.633.900;-4.319.747.563.988.770;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""Hot water"",Other}";$167.00;$417.00;$147.00;2;$295.00;4;30;25;89.0;9.0;9.0;10.0;10.0;10.0;8.0;f;f;strict;2018;4
;within a day;80%;f;2.0;-2.298.059.634.546.840;-4.319.818.025.817.460;Apartment;Entire home/apt;4;2.0;2.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}";$420.00;;;4;$126.00;2;1125;15;86.0;9.0;8.0;9.0;10.0;10.0;9.0;f;f;strict;2018;4
